Sample,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC_1,QC_2,QC_3,QC_11,QC_18,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
Lable,Ad-GFP¢Ù,Ad-GFP¢Ú,Ad-GFP¢Û,Ad-GFP¢Ü,Ad-GFP¢İ,Ad-GFP¢Ş,QC,QC,QC,QC,QC,Ad-IGF2¢Ù,Ad-IGF2¢Ú,Ad-IGF2¢Û,Ad-IGF2¢Ü,Ad-IGF2¢İ,Ad-IGF2¢Ş
neg-M1002T328,83546.67353,148024.277,192802.8542,89496.98717,57625.60195,170944.4886,192324.9167,171935.1413,182865.2343,128364.0469,70379.31957,209398.0599,167049.8829,113461.1628,144354.8705,67987.60651,133966.4081
neg-M1003T328,25328.36449,75802.55145,106048.999,49629.37665,23235.18951,36234.40647,95832.1347,82220.05799,84201.56704,46626.14092,42272.80468,95284.12964,63991.58872,64382.28313,62851.07167,25210.86468,68517.7944
neg-M1004T410,685706.7019,786239.4221,952349.027,161091.1799,217432.0747,349870.6485,780987.741,839661.6654,526087.424,674229.871,209527.2822,724211.742,1045260.695,698564.7944,466802.2941,269424.8942,207917.7452
neg-M100T232,4699783.225,7066858.187,7014777.727,7369767.773,6135746.708,6352746.25,3153785.748,3017284.847,2766651.848,6969013.403,5980683.206,6210057.693,10317687.41,12675910.37,5178905.163,8133061.328,11321809.02
neg-M100T38,235976.5382,459734.0603,968329.7869,1004581.929,319618.386,473322.1048,202415.1371,412392.8325,359277.1455,425327.1681,313719.1656,1007029.926,377338.052,192329.0508,463632.8284,348203.8388,450146.391
neg-M100T452,85631039.16,73478610.53,1606745.322,54995377.06,46486592.1,44474059.42,86389414.12,40754611.29,83198491.51,56360565.74,39297996.49,36964577.24,76931419.58,65160468.25,44585398.56,41579652.6,16168426.51
neg-M100T48,341244.3977,567168.7123,431531.5597,523771.4499,409178.9406,505894.16,525285.4598,461836.5224,453179.5375,358866.689,417530.5577,318831.8765,415685.4697,349231.6354,385766.2588,431673.9461,458463.968
neg-M100T491,9363716.842,21445018.93,16403389.82,41470365.07,12178712.23,20739675.77,18967430.84,17534829.14,15465453.1,12528701.3,12480774.63,25350872.61,10345106.59,20815399.73,15624538.22,11818961.82,47561134.48
neg-M100T541,46921855.21,28001468.61,28118968.02,22834248.78,7492195.128,19865596.53,22727113.34,34509350.56,36034936.71,25395469.22,16939682.59,17945781.36,36118077.07,42931579.55,6525002.429,7684043.675,18041372.57
neg-M100T80,955122.6626,1231653.03,1043333.98,812935.5275,692823.5373,835446.7044,851968.1657,710856.6196,822271.3588,760475.7735,567897.9331,527958.9968,919172.2946,651403.3334,616858.4264,535609.7079,687780.0659
neg-M101T51,31249884.43,32762578.79,31695342.33,31018167.74,44802801.72,37553681.99,42568314.37,38785668.84,41041153.91,36856928.72,39596949.41,54799921.79,47518297.14,50490751.11,49997470.46,49415643.31,47356994.9
neg-M1020T332,552629.7066,1857190.86,949930.013,727982.7793,1320156.185,1028474.835,911815.3196,927842.716,995328.9128,1875866.015,1381633.616,991745.9244,1012279.926,717392.7924,2213237.773,684939.2039,1132669.092
neg-M1021T332,510429.6537,438784.7435,385273.9994,755986.8971,362658.7635,971391.3904,516444.9599,527079.9709,445831.5284,630507.4271,385333.0099,540306.6324,552915.6553,317516.5408,515888.3431,647439.4626,708273.4268
neg-M1022T327,142271.7377,161153.9263,214527.371,98410.46589,79009.53223,151678.3007,233567.415,245049.1545,201733.8814,196680.1853,64439.849,205656.9338,162609.1272,90224.4501,142454.1656,40726.97085,160998.3918
neg-M102T227,949403.6494,527694.6649,389593.6768,457530.3709,399472.0015,707082.1722,809459.5874,689410.9378,367054.689,537310.8352,631992.9709,583712.779,406101.1529,1667132.945,2151154.678,2102257.563,2247592.736
neg-M102T273,825081.4734,1502286.88,626854.9273,823861.1445,1736957.608,1898406.687,1156629.006,1182112.876,1150280.949,1772460.615,1938678.678,788896.427,905418.3357,2924670.084,781451.799,2209088.494,2711563.674
neg-M102T449,1426445.573,1387146.125,1740125.056,1981822.879,1525376.251,2607973.167,2442187.089,1988032.654,2623613.611,1678578.171,1520790.945,1706269.795,2261332.623,1877425.194,1871307.884,1789499.299,1378658.231
